"Chunk Dimension","Document Name (last run)","Generated Value","What Generated TYPE","Precision Confidence Level","Accuracy Confidence Level","Description","Type","Allowed Values Format"
"page_start","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","1","Mechanically Generated","10.0","10.0","First page number covered by the chunk.","integer",">=1"
"page_end","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","2","Mechanically Generated","10.0","10.0","Last page number covered by the chunk.","integer",">=Page_Start"
"char_start","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","0","Mechanically Generated","10.0","10.0","Character index start in the document (0-based).","integer",">=0"
"char_end","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","3117","Mechanically Generated","10.0","10.0","Character index end (exclusive).","integer",">Char_Start"
"token_count","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","949","Mechanically Generated","10.0","10.0","Model token count for the chunk text.","integer",">=1"
"overlap_tokens","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","0","Mechanically Generated","10.0","10.0","Number of tokens overlapped with previous chunk.","integer",">=0"
"chunk_handle","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","the-world-of-saas","Mechanically Generated","10.0","10.0","Short slug/handle for referencing the chunk.","string",""
"chunk_type","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","Chapter_Sequential","AI Generated","10.0","10.0","Structural role of the chunk.","enum","Chapter_Sequential | Instructional_Unit | CER | Example_Scenario (extensible)"
"chunk_summary_1s","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","Introduction to SaaS marketing fundamentals, explaining how subscription-based software delivery transforms marketing responsibilities and requires metrics-driven strategies.","AI Generated","10.0","10.0","One-sentence summary (<= 30 words).","string","<= 240 chars"
"key_terms","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","SaaS (Software-as-a-Service), subscription pricing, buyer journey, marketing metrics, conversion funnel","AI Generated","10.0","10.0","Pipe- or comma-separated salient terms.","list[string]","comma or pipe delimited"
"audience","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","Marketing professionals and executives in SaaS companies seeking to understand industry-specific marketing approaches","AI Generated","10.0","10.0","Intended reader/user persona.","string",""
"intent","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","educate","AI Generated","10.0","10.0","Author's primary intent for this chunk.","enum","educate | instruct | persuade | inform | narrate | summarize | compare | evaluate"
"tone_voice_tags","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","professional, instructional, authoritative, direct, business-focused","AI Generated","10.0","10.0","Style/voice descriptors.","list[string]","comma or pipe delimited"
"brand_persona_tags","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","expert, practical, results-oriented, analytical, industry-insider","AI Generated","10.0","10.0","Brand identity traits relevant to voice.","list[string]","comma or pipe delimited"
"domain_tags","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","SaaS marketing, digital marketing, subscription business models, marketing strategy, business metrics, customer acquisition, software industry","AI Generated","10.0","10.0","Topic/domain taxonomy labels.","list[string]","comma or pipe delimited"
"task_name","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Primary task/procedure name captured by the chunk.","string",""
"preconditions","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Requirements before executing the task.","string",""
"inputs","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Inputs/resources needed to perform the task.","string",""
"steps_json","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Canonical steps in minimal JSON.","json","[{"step":"...", "details":"..."}]"
"expected_output","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","What success looks like if steps are followed.","string",""
"warnings_failure_modes","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Known pitfalls and failure conditions.","string",""
"claim","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Main assertion stated in this chunk.","string",""
"evidence_snippets","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Quoted or paraphrased evidence supporting the claim.","list[string]","comma/pipe delimited or JSON array"
"reasoning_sketch","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","High-level rationale (concise; no verbose chain-of-thought).","string",""
"citations","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Sources/links/DOIs supporting evidence.","list[string]","comma/pipe delimited"
"factual_confidence_0_1","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Confidence score for factuality (0–1).","float","0.0–1.0"
"scenario_type","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Type of example or application.","enum","case_study | dialogue | Q&A | walkthrough | anecdote"
"problem_context","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Real-world context of the example.","string",""
"solution_action","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Action taken in the example.","string",""
"outcome_metrics","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Measured results or KPIs.","string",""
"style_notes","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Narrative/style attributes to mimic.","string",""
"prompt_candidate","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","What is SaaS and how does it change the role of marketing compared to traditional software?","AI Generated","10.0","10.0","Potential user prompt distilled from the chunk.","string",""
"target_answer","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","Software-as-a-Service (SaaS) is a delivery model where software is provided to customers over the Internet, eliminating the need for customers to install and maintain software on their own hardware servers.

This model creates two major advantages: First, it removes technical and budgeting barriers—customers can test and purchase software directly without lengthy hardware procurement or complex configuration. Second, the subscription-based pricing enables rapid growth as existing customers renew and new customers are acquired.

For marketing departments, SaaS fundamentally shifts responsibilities. Marketing now owns much more of the buying cycle because modern buyers research products and often try them out before ever speaking to sales. Most buyers expect transparent pricing on your website.

This shift means SaaS marketers must be intensely metrics-focused. CEOs now look to both the VP of Sales and VP of Marketing for business growth forecasting—the old sales/marketing blame game no longer works. SaaS is fundamentally a numbers game, requiring marketers to be more data-oriented than ever before.

The key takeaway: SaaS puts the buyer in control earlier in the journey, which means marketing must step up with strategy, content, and measurable results that drive predictable growth.","AI Generated","10.0","10.0","Ideal answer (concise, brand-aligned).","string",""
"style_directives","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","Use clear, authoritative tone. Break content into digestible paragraphs. Lead with definitions, then explain business implications. Emphasize the shift in marketing's role and accountability. Use concrete language and avoid jargon where possible. Include practical takeaways.","AI Generated","10.0","10.0","Formatting/voice directives for answers.","string",""
"safety_tags","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","","AI Generated","10.0","10.0","Sensitive-topic flags for filtering/guardrails.","list[string]","comma or pipe delimited"
"coverage_tag","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","core","AI Generated","10.0","10.0","How central this chunk is to the domain.","string","core | supporting | edge"
"novelty_tag","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","common","AI Generated","10.0","10.0","Whether content is common or unique IP.","string","novel | common | disputed"
"ip_sensitivity","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","Public","AI Generated","10.0","10.0","Confidentiality level for IP handling.","enum","Public | Internal | Confidential | Trade_Secret"
"pii_flag","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","No","AI Generated","10.0","10.0","Indicates presence of personal data.","boolean","true | false"
"compliance_flags","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","","AI Generated","10.0","10.0","Regulatory or policy flags.","list[string]","comma or pipe delimited"
"embedding_id","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","Mechanically Generated","10.0","10.0","Identifier for stored vector embedding.","string",""
"vector_checksum","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","Mechanically Generated","10.0","10.0","Checksum/hash for the vector payload.","string",""
"label_source_auto_manual_mixed","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","auto","Mechanically Generated","10.0","10.0","Provenance of labels.","enum","auto | manual | mixed"
"label_model","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","claude-sonnet-4-5-20250929","Mechanically Generated","10.0","10.0","Model name/version used for auto-labels.","string",""
"labeled_by","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","system","Mechanically Generated","10.0","10.0","Human labeler (name/initials) or 'auto'.","string",""
"label_timestamp_iso","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","2025-10-10T19:58:48.528+00:00","Mechanically Generated","10.0","10.0","Timestamp when labels were created.","datetime","YYYY-MM-DDThh:mm:ssZ"
"review_status","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","unreviewed","Mechanically Generated","10.0","10.0","Human QA review status.","enum","unreviewed | approved | needs_changes | rejected"
"include_in_training_yn","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","Yes","AI Generated","10.0","10.0","Whether to use this chunk in training.","boolean","Y | N | true | false"
"data_split_train_dev_test","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","train","Mechanically Generated","10.0","10.0","Dataset split allocation.","enum","train | dev | test"
"augmentation_notes","The_Saas_Marketing_Handbook-Final - the-world-of-saas - 10/10/2025, 12:58:47 PM","-","AI Generated","10.0","10.0","Notes on paraphrase/style/noise augmentation.","string",""
